Date,AMZN,CAT,DE,EXC,GOOGL,JNJ,JPM,META,PFE,PG
2024-03-11,171.9600067138672,328.4185791015625,368.19842529296875,35.43539047241211,137.0149383544922,156.2183837890625,182.95494079589844,481.8321838378906,26.19692611694336,156.6833038330078
2024-03-12,175.38999938964844,330.6441650390625,365.8423156738281,35.263885498046875,137.84097290039062,157.68145751953125,184.46104431152344,497.9335021972656,25.864503860473633,157.05184936523438
2024-03-13,176.55999755859375,334.8404846191406,371.92901611328125,35.24483108520508,139.1248321533203,156.09243774414062,185.95742797851562,493.7686767578125,26.05841636657715,157.4107208251953
2024-03-14,178.75,335.232666015625,373.2838134765625,34.844642639160156,142.4191131591797,154.26119995117188,182.64402770996094,490.042236328125,25.975311279296875,156.63479614257812
2024-03-15,174.4199981689453,340.1838684082031,376.3860778808594,34.75889205932617,140.5082244873047,153.26318359375,184.90802001953125,482.3403625488281,25.799867630004883,156.51841735839844
2024-03-18,174.47999572753906,345.0174560546875,378.27099609375,34.87322998046875,146.97731018066406,151.88731384277344,187.20115661621094,495.1735534667969,25.596715927124023,156.35354614257812
2024-03-19,175.89999389648438,346.97833251953125,384.3577575683594,35.07332229614258,146.33038330078125,151.35443115234375,188.29913330078125,494.43621826171875,25.51361083984375,156.95486450195312
2024-03-20,178.14999389648438,349.4784851074219,386.851318359375,34.83511734008789,148.0322723388672,150.9184112548828,190.7671661376953,503.6824951171875,25.578248977661133,157.1100311279297
2024-03-21,178.14999389648438,357.4298400878906,390.3757629394531,35.282936096191406,146.897705078125,150.90872192382812,193.41978454589844,505.91436767578125,25.54131317138672,156.9839630126953
2024-03-22,178.8699951171875,351.10601806640625,391.5734558105469,34.968509674072266,150.0526123046875,150.40489196777344,191.0489501953125,507.7277526855469,25.264291763305664,156.78997802734375
2024-03-25,179.7100067138672,348.98828125,390.7586364746094,35.11143112182617,149.35594177246094,150.39520263671875,189.29995727539062,501.19158935546875,25.328929901123047,155.3642578125
2024-03-26,178.3000030517578,349.4196472167969,391.23968505859375,34.83511734008789,149.9530792236328,150.9281005859375,190.1841583251953,494.0875244140625,25.476675033569336,155.7134246826172
2024-03-27,179.8300018310547,357.5180969238281,403.15277099609375,35.54973602294922,150.15211486816406,153.050048828125,193.86679077148438,492.06488037109375,25.652122497558594,157.71136474609375
2024-03-28,180.3800048828125,359.2632751464844,404.7293395996094,35.797462463378906,150.2118377685547,153.2728729248047,194.62469482421875,483.8149719238281,25.624420166015625,157.36219787597656
2024-04-01,180.97000122070312,356.6258850097656,398.2259521484375,35.473506927490234,154.7501678466797,152.8756103515625,193.30320739746094,489.56402587890625,25.596715927124023,155.7425079345703
2024-04-02,180.69000244140625,357.6946105957031,398.0880126953125,35.80699157714844,153.82456970214844,152.82717895507812,193.2254638671875,495.5621337890625,25.439739227294922,155.7328338623047
2024-04-03,182.41000366210938,368.44024658203125,400.0882568359375,35.45444869995117,154.182861328125,149.4650421142578,192.6813507080078,504.8980407714844,25.1350154876709,151.44595336914062
2024-04-04,180.0,362.55755615234375,401.1524353027344,35.4639778137207,149.81375122070312,147.759765625,191.21534729003906,509.06292724609375,24.608675003051758,150.76707458496094
2024-04-05,185.07000732421875,371.8815612792969,406.5030212402344,35.57831573486328,151.7743682861328,147.65316772460938,192.97454833984375,525.4231567382812,24.617910385131836,151.39747619628906
2024-04-08,185.19000244140625,366.16558837890625,404.73919677734375,35.997554779052734,154.1132049560547,146.87802124023438,193.981201171875,517.3626098632812,24.544038772583008,151.3392791748047
2024-04-09,185.6699981689453,364.6263122558594,405.45855712890625,36.083309173583984,155.8548583984375,147.55625915527344,192.68133544921875,515.0211181640625,24.72871971130371,151.94061279296875
2024-04-10,185.9499969482422,364.79302978515625,405.94134521484375,35.168601989746094,155.3970489501953,145.53123474121094,191.0394287109375,517.9405517578125,24.303953170776367,152.5031280517578
2024-04-11,189.0500030517578,364.7047424316406,406.798583984375,35.06379318237305,158.6514892578125,144.16505432128906,191.0003204345703,521.2583618164062,24.322420120239258,151.1453094482422
2024-04-12,186.1300048828125,358.4789123535156,391.4564514160156,34.75889205932617,156.9794921875,142.93453979492188,178.64682006835938,510.039306640625,23.879188537597656,150.6506805419922
2024-04-15,183.6199951171875,356.7926025390625,388.0372314453125,34.55879592895508,154.12313842773438,143.00234985351562,178.74456787109375,498.4117431640625,23.92535972595215,150.76707458496094
